2024-05-19 20:30:34.012 | INFO     | utils:log_output:58 - 进程50490: LassoLogistic————IS:               Params: code——A; rolling_period——416; C——0.5; penalty——l2               Sharpe: 0.5347055478573933
2024-05-19 20:30:38.355 | INFO     | utils:log_output:58 - 进程50491: LassoLogistic————IS:               Params: code——A; rolling_period——416; C——1; penalty——l1               Sharpe: 0.5138426357140884
2024-05-19 20:30:41.431 | INFO     | utils:log_output:58 - 进程50492: LassoLogistic————IS:               Params: code——A; rolling_period——416; C——1; penalty——l2               Sharpe: 0.5218969831452586
2024-05-19 20:30:46.177 | INFO     | utils:log_output:58 - 进程50493: LassoLogistic————IS:               Params: code——A; rolling_period——416; C——5; penalty——l1               Sharpe: 0.4892858993333643
2024-05-19 20:30:48.876 | INFO     | utils:log_output:58 - 进程50494: LassoLogistic————IS:               Params: code——A; rolling_period——416; C——5; penalty——l2               Sharpe: 0.5233494491309304
2024-05-19 20:30:53.634 | INFO     | utils:log_output:58 - 进程50487: LassoLogistic————IS:               Params: code——A; rolling_period——416; C——10; penalty——l1               Sharpe: 0.5024879983057112
2024-05-19 20:30:56.480 | INFO     | utils:log_output:58 - 进程50488: LassoLogistic————IS:               Params: code——A; rolling_period——416; C——10; penalty——l2               Sharpe: 0.5075050676141257
2024-05-19 20:31:01.062 | INFO     | utils:log_output:58 - 进程50489: LassoLogistic————IS:               Params: code——A; rolling_period——416; C——50; penalty——l1               Sharpe: 0.5233494491309304
2024-05-19 20:31:03.905 | INFO     | utils:log_output:58 - 进程50490: LassoLogistic————IS:               Params: code——A; rolling_period——416; C——50; penalty——l2               Sharpe: 0.5075050676141257
2024-05-19 20:31:07.627 | INFO     | utils:log_output:58 - 进程50491: LassoLogistic————IS:               Params: code——A; rolling_period——624; C——0.1; penalty——l1               Sharpe: 0.2901737327606667
2024-05-19 20:31:11.656 | INFO     | utils:log_output:58 - 进程50492: LassoLogistic————IS:               Params: code——A; rolling_period——624; C——0.1; penalty——l2               Sharpe: 0.2612903354377862
2024-05-19 20:31:16.492 | INFO     | utils:log_output:58 - 进程50493: LassoLogistic————IS:               Params: code——A; rolling_period——624; C——0.5; penalty——l1               Sharpe: 0.3846269273737136
